attackkey,overlap,total_received,tp,fp,tn,fn
53a2d63780a514261970a776520c571c,0,1582358,1582358,0,1582358,0
b0bed1288522fdc2bffea0396ba00084,0,1582358,1582358,0,1582358,0
079c27d54c337110c12ae61ea3efe580,0,1582358,1582358,0,1582358,0
6297de9c19ce35bb4738bd3687512a9a,0,1582358,1582358,0,1582358,0
72666503ae7af37518dbba7c85c80418,0,1582358,1582358,0,1582358,0
e4ed2d7237e72181e0185f1d46e022de,0,1582358,1582358,0,1582358,0
af7af871db3ea21fe00c37f70e6d11cb,0,1582358,1582358,0,1582358,0
7c48b9dc3286acde9c1419cd07be1c7d,0,1582358,1582358,0,1582358,0
5745d17a8591ba66f264c19a9aa00320,0,1582358,1582358,0,1582358,0
2ea180355c6612d69993431075783e86,0,1582358,1582358,0,1582358,0
a3bbaba745fbded23fc3217df906cff5,0,1582358,1582358,0,1582358,0
3b501f660da8235c7f13c92c7a6e501b_2,0,1582358,1582358,0,1582358,0
8e4c9e0a6e37b2eb954a868db67b6b4d,0,1582358,1582358,0,1582358,0
e6c3668c7cd00f4b287b6fc92a0afcb9,0,1582358,1582358,0,1582358,0
d9103c17cf563a8a40d3ec0dfff0fcb7,0,1582358,1582358,0,1582358,0
85e194d3ed23183769ed40aa93b26038_2,0,1582234,1582358,124,1582234,0
a60c98fd7a78dfdcded33d10dd889e2e,0,1582358,1582358,0,1582358,0
730279c40f615bb3d6957a6182043425,0,1582358,1582358,0,1582358,0
a45683a1a9df6cedd1cfbcdd4ba3d386,0,1582324,1582358,34,1582324,0
20951de69e85a3917bd2606e6fea77f9,0,1582258,1582358,100,1582258,0
79c0560b679610429eb83424c59852fc,0,1582358,1582358,0,1582358,0
9138ab0055963f033fd015cea2ef1bc6,0,1582358,1582358,0,1582358,0
13073741f538935aa8adfe90bad2ed52,0,1582292,1582358,66,1582292,0
20bb770b6cc349185770a35cbeda3956,0,1582358,1582358,0,1582358,0
07b54769cadc2fb05f0467775d13925c_3,0,1582356,1582358,2,1582356,0
79c0560b679610429eb83424c59852fc_2,0,1582356,1582358,2,1582356,0
2d276c708de961e0f5576c1a23c07ed7,0,1582350,1582358,8,1582350,0
fc81d769d7832fa40a4cda6ae7877e8b,0,1582208,1582358,150,1582208,0
