attackkey,overlap,total_received,tp,fp,tn,fn
229afeeb24fa0a98b5f609b5a4f23ed9,0,1097130,1582358,485228,1097130,0
7c909649f4ec0dd3a88867641bacd056,0,1466250,1582358,116108,1466250,0
b71de491259cfec8bf8874626f0b9478,0,1097130,1582358,485228,1097130,0
cb6dfe8c20909ecfd02ef8e8b2c6aa3c,0,1097130,1582358,485228,1097130,0
02ca4f902b395e0fa10d56b7a1a70a9f,0,1582358,1582358,0,1582358,0
0d8119604993f414d5677ad5d12b5ccf,0,1466250,1582358,116108,1466250,0
9ec938d83a145c111e4dc96438f7d903,0,1097130,1582358,485228,1097130,0
aa55c194d1ddc55231c1862ef6c54971,0,1097130,1582358,485228,1097130,0
75954540322b27440ec08f7fa1d8cf07,0,1409828,1582358,172530,1409828,0
a3eb865faa52d6c28fc328cde3a227b5,0,1466250,1582358,116108,1466250,0
6174c4036ef81a53042d275341463199,0,1466250,1582358,116108,1466250,0
ccf5eec6cfe6764747152dde47dd0ac2,0,1097130,1582358,485228,1097130,0
42c3016683437deb382d8fdabd438d14,0,1097130,1582358,485228,1097130,0
8d031b0dcaa77b2cd4d015ced7b3cfe1,0,1097130,1582358,485228,1097130,0
c7d18456b0f108530600b1e8357ec665,0,1097130,1582358,485228,1097130,0
533e77e51e087311b7be8ace34815783,0,1466250,1582358,116108,1466250,0
bbbf9319e378b8adcbdf9f99605b30bf,0,1466250,1582358,116108,1466250,0
36f8b65846f7954d2b87505718997b63,0,1466250,1582358,116108,1466250,0
08d805e64ce0a2ac23184b9976130c89,0,1466250,1582358,116108,1466250,0
aa4011f67afcc6a316c24436d1d5a9b0,0,1097130,1582358,485228,1097130,0
dab83f654d29e7c10216de01367e73b2,0,1097130,1582358,485228,1097130,0
21e08bf3cd571a2fdeec359798324263,0,1466250,1582358,116108,1466250,0
25b56a86df0b623c71a16f6383d7dab2,0,1466250,1582358,116108,1466250,0
8ad3d7156170c061a3d700d6db12762a,0,1466250,1582358,116108,1466250,0
342c8dc47de54c7a8227912526dffb79,0,1466250,1582358,116108,1466250,0
cfb18b61492a66ce911aa610dd7f8bfd,0,1582358,1582358,0,1582358,0
64ad28fab0ac99d05c8c10bd68a94dfa,0,1466250,1582358,116108,1466250,0
8396012ed87a8538b18b325955170e82,0,1097130,1582358,485228,1097130,0
4e1067343d6f34f8a3729d54382034a3,0,1097130,1582358,485228,1097130,0
2a515a5447e0770c541eb28115b7b968,0,1097130,1582358,485228,1097130,0
acc74cb8fd63f0dfd10dae5bdecae42a,0,1097130,1582358,485228,1097130,0
9a1340fc25c5c634a95cd3bb3ea3cdac,0,1466250,1582358,116108,1466250,0
8c57fb5e3a653289624f17abb8dcaac4,0,1466250,1582358,116108,1466250,0
88adde96b22526523c80ab58c04d48cd,0,1097130,1582358,485228,1097130,0
956b0d4feeafbdb4d125effbaec29cfd,0,1466250,1582358,116108,1466250,0
ea93e17afc482f41eda9ea20881c3c88,0,1582358,1582358,0,1582358,0
773585c60c206e9a98146943e4fa70d7,0,1097130,1582358,485228,1097130,0
955a5cd15843aa5c4155fd3f69651e15,0,1097130,1582358,485228,1097130,0
d6b92e937ebf77ba0a24c04bb5304037,0,1582358,1582358,0,1582358,0
6cd82763f267059c349a88f60e7d51d4,0,1097130,1582358,485228,1097130,0
